0.000000000000000000e+00,5.960665579551722992e-02,8.024708778616489180e-02,8.130553639554422007e-02,7.445960762723630166e-02,6.489198207740996815e-02,5.507858877132917885e-02,4.608818993545962112e-02,3.828829672513481275e-02,3.171446371784866769e-02,2.626009208258078126e-02,2.177063467800280719e-02
0.000000000000000000e+00,4.847176708682094520e-02,6.527014282110435439e-02,6.576434074563093646e-02,5.989968259036233811e-02,5.185295242609374439e-02,4.364528714639290957e-02,3.615857562250027885e-02,2.969691225264564985e-02,2.428667514404123096e-02,1.983379530666856683e-02,1.620322450116647856e-02
0.000000000000000000e+00,3.865804898039765236e-02,5.198319888862571597e-02,5.201827354690242988e-02,4.710356435351927690e-02,4.049903214726527367e-02,3.380063162678441369e-02,2.771665835966410224e-02,2.249313747203473060e-02,1.814940736271471872e-02,1.460477808837438649e-02,1.174405628666733321e-02
0.000000000000000000e+00,3.075943355744620994e-02,4.100290819795254782e-02,4.056039974747423227e-02,3.639457927552365579e-02,3.100767274526652906e-02,2.561393882016679835e-02,2.075684054722183591e-02,1.662122533758060225e-02,1.321390555186198121e-02,1.046279298451621882e-02,8.269097219125009363e-03
0.000000000000000000e+00,2.538329687921854136e-02,3.305336115359677751e-02,3.203122491674306738e-02,2.824889313213956379e-02,2.368837397647794926e-02,1.925714956773089473e-02,1.534747397840559476e-02,1.207577197690757470e-02,9.424300679878195447e-03,7.318654068431866902e-03,5.668082899085348340e-03
0.000000000000000000e+00,2.312438301067748156e-02,2.899803028347337427e-02,2.730362401748377341e-02,2.342262656197732079e-02,1.912781982582922521e-02,1.514706358470243458e-02,1.175774571562828927e-02,9.007985167438326696e-03,6.842835894081148763e-03,5.170601819043068106e-03,3.895230296016903657e-03
0.000000000000000000e+00,2.441652223569571248e-02,2.970282424753544273e-02,2.743379558424715800e-02,2.300515577973829065e-02,1.832891258135180626e-02,1.413783392307475448e-02,1.067286906039643934e-02,7.940003229483223388e-03,5.848102988624229344e-03,4.278429216420357589e-03,3.116463774481777627e-03
0.000000000000000000e+00,2.946909021667296763e-02,3.591087630085501581e-02,3.357254521625031157e-02,2.842109546379019067e-02,2.283297286481130936e-02,1.775836922079713012e-02,1.352179640499609654e-02,1.015063906444070574e-02,7.547345731663725708e-03,5.576141109462572423e-03,4.103084246615292321e-03
0.000000000000000000e+00,3.816499343498344632e-02,4.795549163927009806e-02,4.659907442995626231e-02,4.107695358291023335e-02,3.446893338256550726e-02,2.812333668312157198e-02,2.257388144299059263e-02,1.795348081158177136e-02,1.421301364158891224e-02,1.123393469425182888e-02,8.882916718774372736e-03
0.000000000000000000e+00,4.991436181678753081e-02,6.532555960666620865e-02,6.641752960052314803e-02,6.145087204047106760e-02,5.433597619844361681e-02,4.692074214183390019e-02,4.003095108972761634e-02,3.396984892501348635e-02,2.878683949239012330e-02,2.441896224211754368e-02,2.076257515811889137e-02
0.000000000000000000e+00,6.361983535062699924e-02,8.637296208720465773e-02,9.126071470044486156e-02,8.792706431922489574e-02,8.116010610640989054e-02,7.333643592760155649e-02,6.560123501078075903e-02,5.845229401264720459e-02,5.205866972158981754e-02,4.643141052889850073e-02,4.151264069277585400e-02
0.000000000000000000e+00,7.772328489365298854e-02,1.083184446793076794e-01,1.174836823904025218e-01,1.162330870481733530e-01,1.102427370908365123e-01,1.024130689341829492e-01,9.420415611064282546e-02,8.630531153452679349e-02,7.900346164622837342e-02,7.238299257033814493e-02,6.643206293371980986e-02
0.000000000000000000e+00,9.034892434446645249e-02,1.276963782443102380e-01,1.403099164427957513e-01,1.404618533536202973e-01,1.347047769107379833e-01,1.264431219364053338e-01,1.174316128102137757e-01,1.085339671509494841e-01,1.001407407505399971e-01,9.239802261793471361e-02,8.533058922652517198e-02
